id;col_1;col_2;col_3
1;matrix Village bandwidth-monitored;purple transmit;17(E.U.A.-17) invoice Health
2;Rubber Personal;Isle up frame;Web Chips solution
3;primary solid;Down-sized Division;Executive Wooden evolve
4;Bike Automotive;Principal Movies analyzer;Visionary
5;Pants Avon;Orchestrator;Borders mint
6;synthesizing;bypassing;cyan
7;Architect;mobile Spain Berkshire;Forward Avon
8;Object-based optimize Cambridgeshire;implement;SMTP monitor Automotive
9;Ball;XSS context-sensitive;infrastructure Canyon
10;time-frame;holistic;Car
